investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status,date,amount
INV003054,2024-01-01,119092,Sip,1834,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,VERIFIED,2024-01-01,1834
INV002952,2024-01-01,148567,Redemption,392882,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,VERIFIED,2024-01-01,392882
INV003420,2024-01-01,118636,Sip,912,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,VERIFIED,2024-01-01,912
INV003436,2024-01-01,118634,Sip,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,PENDING,2024-01-01,1102
INV004691,2024-01-01,119094,Lumpsum,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,PENDING,2024-01-01,8682
INV001497,2024-01-01,101208,Sip,3295,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,VERIFIED,2024-01-01,3295
INV000786,2024-01-01,101208,Sip,15047,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,VERIFIED,2024-01-01,15047
INV000616,2024-01-01,100016,Sip,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,VERIFIED,2024-01-01,933
INV003670,2024-01-01,119120,Sip,10672,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,VERIFIED,2024-01-01,10672
INV002054,2024-01-01,148567,Sip,1111,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,VERIFIED,2024-01-01,1111
INV002592,2024-01-01,101208,Lumpsum,411860,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,VERIFIED,2024-01-01,411860
INV001023,2024-01-01,118636,Sip,4865,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,VERIFIED,2024-01-01,4865
INV002893,2024-01-01,120843,Sip,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,PENDING,2024-01-01,8472
INV000797,2024-01-01,102885,Sip,58257,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,VERIFIED,2024-01-01,58257
INV000368,2024-01-01,118636,Redemption,339882,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,VERIFIED,2024-01-01,339882
INV000548,2024-01-01,119095,Sip,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,VERIFIED,2024-01-01,1607
INV000600,2024-01-01,149322,Sip,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,VERIFIED,2024-01-01,20890
INV004347,2024-01-01,119599,Sip,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,VERIFIED,2024-01-01,1862
INV000437,2024-01-01,120504,Sip,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,VERIFIED,2024-01-01,900
INV000609,2024-01-01,120842,Sip,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,VERIFIED,2024-01-01,8493
INV000428,2024-01-01,118636,Sip,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,VERIFIED,2024-01-01,9146
INV003329,2024-01-01,101207,Lumpsum,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,VERIFIED,2024-01-01,295055
INV000968,2024-01-01,100025,Lumpsum,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,VERIFIED,2024-01-01,497564
INV004154,2024-01-01,102885,Sip,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,VERIFIED,2024-01-01,1897
INV000234,2024-01-01,148567,Sip,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,VERIFIED,2024-01-01,28094
INV002885,2024-01-01,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,PENDING,2024-01-01,430566
INV002157,2024-01-01,102885,Lumpsum,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,VERIFIED,2024-01-01,112928
INV001665,2024-01-01,120505,Sip,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,VERIFIED,2024-01-01,3322
INV002328,2024-01-01,120841,Sip,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,VERIFIED,2024-01-01,29901
INV004174,2024-01-01,119599,Sip,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,VERIFIED,2024-01-01,57353
INV004918,2024-01-01,120503,Redemption,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,VERIFIED,2024-01-01,153828
INV000478,2024-01-01,120506,Sip,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,VERIFIED,2024-01-01,59382
INV000467,2024-01-01,119552,Sip,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,VERIFIED,2024-01-01,2623
INV000603,2024-01-01,118636,Sip,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,VERIFIED,2024-01-01,2858
INV004770,2024-01-01,102886,Lumpsum,92031,Gujarat,Surat,T30,18-25,Female,5.2,Mandate,VERIFIED,2024-01-01,92031
INV004648,2024-01-01,118634,Sip,17860,Maharashtra,Pune,T30,36-45,Male,54.3,Mandate,PENDING,2024-01-01,17860
INV002432,2024-01-01,101208,Sip,3513,Haryana,Gurugram,T30,46-55,Female,48.1,Net Banking,VERIFIED,2024-01-01,3513
INV002338,2024-01-01,120844,Lumpsum,292991,Delhi,New Delhi,T30,26-35,Male,23.6,UPI,VERIFIED,2024-01-01,292991
INV001041,2024-01-01,101208,Sip,8547,Madhya Pradesh,Bhopal,B30,18-25,Male,5.1,Cheque,VERIFIED,2024-01-01,8547
INV001400,2024-01-01,148567,Sip,10696,Tamil Nadu,Coimbatore,B30,36-45,Male,36.5,Mandate,VERIFIED,2024-01-01,10696
INV000852,2024-01-01,101208,Sip,15916,Maharashtra,Nashik,B30,26-35,Female,18.1,UPI,VERIFIED,2024-01-01,15916
INV004915,2024-01-01,120504,Sip,14096,Uttar Pradesh,Kanpur,B30,26-35,Male,9.6,Cheque,VERIFIED,2024-01-01,14096
INV002984,2024-01-01,120844,Redemption,230179,Delhi,Gurugram,T30,26-35,Male,18.1,Mandate,VERIFIED,2024-01-01,230179
INV002782,2024-01-01,102886,Lumpsum,250209,Punjab,Chandigarh,T30,18-25,Male,3.7,UPI,VERIFIED,2024-01-01,250209
INV002316,2024-01-01,118632,Sip,4715,Punjab,Amritsar,B30,26-35,Male,16.7,Cheque,VERIFIED,2024-01-01,4715
INV000097,2024-01-01,125498,Redemption,527377,Karnataka,Mysore,B30,18-25,Male,6.0,Net Banking,VERIFIED,2024-01-01,527377
INV002139,2024-01-01,125498,Redemption,359482,Haryana,Gurugram,T30,36-45,Female,28.6,Mandate,VERIFIED,2024-01-01,359482
INV002219,2024-01-01,101208,Redemption,525983,Karnataka,Mysore,B30,26-35,Male,6.9,Mandate,VERIFIED,2024-01-01,525983
INV000576,2024-01-01,120841,Redemption,43157,Delhi,New Delhi,T30,46-55,Male,79.7,UPI,VERIFIED,2024-01-01,43157
INV002166,2024-01-01,120844,Sip,1139,Haryana,Gurugram,T30,36-45,Male,33.3,Net Banking,VERIFIED,2024-01-01,1139
INV000836,2024-01-01,100016,Sip,1139,Haryana,Gurugram,T30,26-35,Male,24.4,Mandate,VERIFIED,2024-01-01,1139
INV001540,2024-01-01,101207,Sip,16264,Maharashtra,Pune,T30,26-35,Female,17.3,UPI,VERIFIED,2024-01-01,16264
INV003664,2024-01-01,125498,Sip,15555,Rajasthan,Udaipur,B30,46-55,Male,29.4,UPI,VERIFIED,2024-01-01,15555
INV002966,2024-01-01,149324,Sip,15946,Gujarat,Ahmedabad,T30,26-35,Female,18.4,Mandate,VERIFIED,2024-01-01,15946
INV002387,2024-01-01,118634,Sip,2891,Telangana,Hyderabad,T30,26-35,Male,13.1,UPI,VERIFIED,2024-01-01,2891
INV000983,2024-01-01,101206,Sip,3538,Telangana,Hyderabad,T30,36-45,Male,33.5,UPI,VERIFIED,2024-01-01,3538
INV004128,2024-01-01,119094,Redemption,58934,Haryana,Faridabad,B30,18-25,Male,3.3,UPI,VERIFIED,2024-01-01,58934
INV000081,2024-01-01,120844,Sip,1842,Gujarat,Surat,T30,36-45,Male,31.0,Net Banking,VERIFIED,2024-01-01,1842
INV004548,2024-01-01,119551,Lumpsum,564276,Delhi,Noida,T30,36-45,Female,58.1,Cheque,VERIFIED,2024-01-01,564276
INV002253,2024-01-01,120844,Redemption,289915,West Bengal,Kolkata,T30,46-55,Male,28.6,Net Banking,VERIFIED,2024-01-01,289915
INV002942,2024-01-01,148568,Redemption,233200,Delhi,Noida,T30,36-45,Male,27.8,Cheque,VERIFIED,2024-01-01,233200
INV004308,2024-01-01,119599,Sip,25855,Gujarat,Surat,T30,26-35,Female,11.1,Mandate,VERIFIED,2024-01-01,25855
INV000488,2024-01-01,148568,Redemption,343317,Karnataka,Mysore,B30,56+,Male,31.4,Cheque,VERIFIED,2024-01-01,343317
INV002560,2024-01-02,119120,Sip,6321,Haryana,Faridabad,B30,26-35,Male,6.4,Net Banking,VERIFIED,2024-01-02,6321
INV003028,2024-01-02,100033,Sip,25360,Tamil Nadu,Chennai,T30,26-35,Female,12.8,Cheque,VERIFIED,2024-01-02,25360
INV002868,2024-01-02,148569,Sip,59797,Gujarat,Ahmedabad,T30,26-35,Female,24.7,Net Banking,VERIFIED,2024-01-02,59797
INV001156,2024-01-02,120843,Sip,28986,Madhya Pradesh,Indore,T30,56+,Female,58.8,Cheque,PENDING,2024-01-02,28986
INV000313,2024-01-02,120843,Lumpsum,497034,Tamil Nadu,Chennai,T30,18-25,Female,3.1,Net Banking,VERIFIED,2024-01-02,497034
