company_id,metric_type,period_years,value_pct
1,roe,5,18.5
2,roe,5,18.5
3,roe,5,18.5
4,roe,5,18.5
5,roe,5,18.5
6,roe,5,18.5
7,roe,5,18.5
8,roe,5,18.5
9,roe,5,18.5
10,roe,5,18.5
11,roe,5,18.5
12,roe,5,18.5
13,roe,5,18.5
14,roe,5,18.5
15,roe,5,18.5
16,roe,5,18.5
17,roe,5,18.5
18,roe,5,18.5
19,roe,5,18.5
20,roe,5,18.5
21,roe,5,18.5
22,roe,5,18.5
23,roe,5,18.5
24,roe,5,18.5
25,roe,5,18.5
26,roe,5,18.5
27,roe,5,18.5
28,roe,5,18.5
29,roe,5,18.5
30,roe,5,18.5
31,roe,5,18.5
32,roe,5,18.5
33,roe,5,18.5
34,roe,5,18.5
35,roe,5,18.5
36,roe,5,18.5
37,roe,5,18.5
38,roe,5,18.5
39,roe,5,18.5
40,roe,5,18.5
41,roe,5,18.5
42,roe,5,18.5
43,roe,5,18.5
44,roe,5,18.5
45,roe,5,18.5
46,roe,5,18.5
47,roe,5,18.5
48,roe,5,18.5
49,roe,5,18.5
50,roe,5,18.5
51,roe,5,18.5
52,roe,5,18.5
53,roe,5,18.5
54,roe,5,18.5
55,roe,5,18.5
56,roe,5,18.5
57,roe,5,18.5
58,roe,5,18.5
59,roe,5,18.5
60,roe,5,18.5
61,roe,5,18.5
62,roe,5,18.5
63,roe,5,18.5
64,roe,5,18.5
65,roe,5,18.5
66,roe,5,18.5
67,roe,5,18.5
68,roe,5,18.5
69,roe,5,18.5
70,roe,5,18.5
71,roe,5,18.5
72,roe,5,18.5
73,roe,5,18.5
74,roe,5,18.5
75,roe,5,18.5
76,roe,5,18.5
77,roe,5,18.5
78,roe,5,18.5
79,roe,5,18.5
80,roe,5,18.5
81,roe,5,18.5
82,roe,5,18.5
83,roe,5,18.5
84,roe,5,18.5
85,roe,5,18.5
86,roe,5,18.5
87,roe,5,18.5
88,roe,5,18.5
89,roe,5,18.5
90,roe,5,18.5
91,roe,5,18.5
92,roe,5,18.5
