company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
1,2020,+,-,-,Reinvestor
1,2021,+,-,-,Reinvestor
1,2022,+,-,-,Reinvestor
1,2023,+,-,-,Reinvestor
1,2024,+,-,-,Reinvestor
2,2020,+,-,-,Reinvestor
2,2021,+,-,-,Reinvestor
2,2022,+,-,-,Reinvestor
2,2023,+,-,-,Reinvestor
2,2024,+,-,-,Reinvestor
3,2020,+,-,-,Reinvestor
3,2021,+,-,-,Reinvestor
3,2022,+,-,-,Reinvestor
3,2023,+,-,-,Reinvestor
3,2024,+,-,-,Reinvestor
4,2020,+,-,-,Reinvestor
4,2021,+,-,-,Reinvestor
4,2022,+,-,-,Reinvestor
4,2023,+,-,-,Reinvestor
4,2024,+,-,-,Reinvestor
5,2020,+,-,-,Reinvestor
5,2021,+,-,-,Reinvestor
5,2022,+,-,-,Reinvestor
5,2023,+,-,-,Reinvestor
5,2024,+,-,-,Reinvestor
6,2020,+,-,-,Reinvestor
6,2021,+,-,-,Reinvestor
6,2022,+,-,-,Reinvestor
6,2023,+,-,-,Reinvestor
6,2024,+,-,-,Reinvestor
7,2020,+,-,-,Reinvestor
7,2021,+,-,-,Reinvestor
7,2022,+,-,-,Reinvestor
7,2023,+,-,-,Reinvestor
7,2024,+,-,-,Reinvestor
8,2020,+,-,-,Reinvestor
8,2021,+,-,-,Reinvestor
8,2022,+,-,-,Reinvestor
8,2023,+,-,-,Reinvestor
8,2024,+,-,-,Reinvestor
9,2020,+,-,-,Reinvestor
9,2021,+,-,-,Reinvestor
9,2022,+,-,-,Reinvestor
9,2023,+,-,-,Reinvestor
9,2024,+,-,-,Reinvestor
10,2020,+,-,-,Reinvestor
10,2021,+,-,-,Reinvestor
10,2022,+,-,-,Reinvestor
10,2023,+,-,-,Reinvestor
10,2024,+,-,-,Reinvestor
11,2020,+,-,-,Reinvestor
11,2021,+,-,-,Reinvestor
11,2022,+,-,-,Reinvestor
11,2023,+,-,-,Reinvestor
11,2024,+,-,-,Reinvestor
12,2020,+,-,-,Reinvestor
12,2021,+,-,-,Reinvestor
12,2022,+,-,-,Reinvestor
12,2023,+,-,-,Reinvestor
12,2024,+,-,-,Reinvestor
13,2020,+,-,-,Reinvestor
13,2021,+,-,-,Reinvestor
13,2022,+,-,-,Reinvestor
13,2023,+,-,-,Reinvestor
13,2024,+,-,-,Reinvestor
14,2020,+,-,-,Reinvestor
14,2021,+,-,-,Reinvestor
14,2022,+,-,-,Reinvestor
14,2023,+,-,-,Reinvestor
14,2024,+,-,-,Reinvestor
15,2020,+,-,-,Reinvestor
15,2021,+,-,-,Reinvestor
15,2022,+,-,-,Reinvestor
15,2023,+,-,-,Reinvestor
15,2024,+,-,-,Reinvestor
16,2020,+,-,-,Reinvestor
16,2021,+,-,-,Reinvestor
16,2022,+,-,-,Reinvestor
16,2023,+,-,-,Reinvestor
16,2024,+,-,-,Reinvestor
17,2020,+,-,-,Reinvestor
17,2021,+,-,-,Reinvestor
17,2022,+,-,-,Reinvestor
17,2023,+,-,-,Reinvestor
17,2024,+,-,-,Reinvestor
18,2020,+,-,-,Reinvestor
18,2021,+,-,-,Reinvestor
18,2022,+,-,-,Reinvestor
18,2023,+,-,-,Reinvestor
18,2024,+,-,-,Reinvestor
19,2020,+,-,-,Reinvestor
19,2021,+,-,-,Reinvestor
19,2022,+,-,-,Reinvestor
19,2023,+,-,-,Reinvestor
19,2024,+,-,-,Reinvestor
20,2020,+,-,-,Reinvestor
20,2021,+,-,-,Reinvestor
20,2022,+,-,-,Reinvestor
20,2023,+,-,-,Reinvestor
20,2024,+,-,-,Reinvestor
21,2020,+,-,-,Reinvestor
21,2021,+,-,-,Reinvestor
21,2022,+,-,-,Reinvestor
21,2023,+,-,-,Reinvestor
21,2024,+,-,-,Reinvestor
22,2020,+,-,-,Reinvestor
22,2021,+,-,-,Reinvestor
22,2022,+,-,-,Reinvestor
22,2023,+,-,-,Reinvestor
22,2024,+,-,-,Reinvestor
23,2020,+,-,-,Reinvestor
23,2021,+,-,-,Reinvestor
23,2022,+,-,-,Reinvestor
23,2023,+,-,-,Reinvestor
23,2024,+,-,-,Reinvestor
24,2020,+,-,-,Reinvestor
24,2021,+,-,-,Reinvestor
24,2022,+,-,-,Reinvestor
24,2023,+,-,-,Reinvestor
24,2024,+,-,-,Reinvestor
25,2020,+,-,-,Reinvestor
25,2021,+,-,-,Reinvestor
25,2022,+,-,-,Reinvestor
25,2023,+,-,-,Reinvestor
25,2024,+,-,-,Reinvestor
26,2020,+,-,-,Reinvestor
26,2021,+,-,-,Reinvestor
26,2022,+,-,-,Reinvestor
26,2023,+,-,-,Reinvestor
26,2024,+,-,-,Reinvestor
27,2020,+,-,-,Reinvestor
27,2021,+,-,-,Reinvestor
27,2022,+,-,-,Reinvestor
27,2023,+,-,-,Reinvestor
27,2024,+,-,-,Reinvestor
28,2020,+,-,-,Reinvestor
28,2021,+,-,-,Reinvestor
28,2022,+,-,-,Reinvestor
28,2023,+,-,-,Reinvestor
28,2024,+,-,-,Reinvestor
29,2020,+,-,-,Reinvestor
29,2021,+,-,-,Reinvestor
29,2022,+,-,-,Reinvestor
29,2023,+,-,-,Reinvestor
29,2024,+,-,-,Reinvestor
30,2020,+,-,-,Reinvestor
30,2021,+,-,-,Reinvestor
30,2022,+,-,-,Reinvestor
30,2023,+,-,-,Reinvestor
30,2024,+,-,-,Reinvestor
31,2020,+,-,-,Reinvestor
31,2021,+,-,-,Reinvestor
31,2022,+,-,-,Reinvestor
31,2023,+,-,-,Reinvestor
31,2024,+,-,-,Reinvestor
32,2020,+,-,-,Reinvestor
32,2021,+,-,-,Reinvestor
32,2022,+,-,-,Reinvestor
32,2023,+,-,-,Reinvestor
32,2024,+,-,-,Reinvestor
33,2020,+,-,-,Reinvestor
33,2021,+,-,-,Reinvestor
33,2022,+,-,-,Reinvestor
33,2023,+,-,-,Reinvestor
33,2024,+,-,-,Reinvestor
34,2020,+,-,-,Reinvestor
34,2021,+,-,-,Reinvestor
34,2022,+,-,-,Reinvestor
34,2023,+,-,-,Reinvestor
34,2024,+,-,-,Reinvestor
35,2020,+,-,-,Reinvestor
35,2021,+,-,-,Reinvestor
35,2022,+,-,-,Reinvestor
35,2023,+,-,-,Reinvestor
35,2024,+,-,-,Reinvestor
36,2020,+,-,-,Reinvestor
36,2021,+,-,-,Reinvestor
36,2022,+,-,-,Reinvestor
36,2023,+,-,-,Reinvestor
36,2024,+,-,-,Reinvestor
37,2020,+,-,-,Reinvestor
37,2021,+,-,-,Reinvestor
37,2022,+,-,-,Reinvestor
37,2023,+,-,-,Reinvestor
37,2024,+,-,-,Reinvestor
38,2020,+,-,-,Reinvestor
38,2021,+,-,-,Reinvestor
38,2022,+,-,-,Reinvestor
38,2023,+,-,-,Reinvestor
38,2024,+,-,-,Reinvestor
39,2020,+,-,-,Reinvestor
39,2021,+,-,-,Reinvestor
39,2022,+,-,-,Reinvestor
39,2023,+,-,-,Reinvestor
39,2024,+,-,-,Reinvestor
40,2020,+,-,-,Reinvestor
40,2021,+,-,-,Reinvestor
40,2022,+,-,-,Reinvestor
40,2023,+,-,-,Reinvestor
40,2024,+,-,-,Reinvestor
41,2020,+,-,-,Reinvestor
41,2021,+,-,-,Reinvestor
41,2022,+,-,-,Reinvestor
41,2023,+,-,-,Reinvestor
41,2024,+,-,-,Reinvestor
42,2020,+,-,-,Reinvestor
42,2021,+,-,-,Reinvestor
42,2022,+,-,-,Reinvestor
42,2023,+,-,-,Reinvestor
42,2024,+,-,-,Reinvestor
43,2020,+,-,-,Reinvestor
43,2021,+,-,-,Reinvestor
43,2022,+,-,-,Reinvestor
43,2023,+,-,-,Reinvestor
43,2024,+,-,-,Reinvestor
44,2020,+,-,-,Reinvestor
44,2021,+,-,-,Reinvestor
44,2022,+,-,-,Reinvestor
44,2023,+,-,-,Reinvestor
44,2024,+,-,-,Reinvestor
45,2020,+,-,-,Reinvestor
45,2021,+,-,-,Reinvestor
45,2022,+,-,-,Reinvestor
45,2023,+,-,-,Reinvestor
45,2024,+,-,-,Reinvestor
46,2020,+,-,-,Reinvestor
46,2021,+,-,-,Reinvestor
46,2022,+,-,-,Reinvestor
46,2023,+,-,-,Reinvestor
46,2024,+,-,-,Reinvestor
47,2020,+,-,-,Reinvestor
47,2021,+,-,-,Reinvestor
47,2022,+,-,-,Reinvestor
47,2023,+,-,-,Reinvestor
47,2024,+,-,-,Reinvestor
48,2020,+,-,-,Reinvestor
48,2021,+,-,-,Reinvestor
48,2022,+,-,-,Reinvestor
48,2023,+,-,-,Reinvestor
48,2024,+,-,-,Reinvestor
49,2020,+,-,-,Reinvestor
49,2021,+,-,-,Reinvestor
49,2022,+,-,-,Reinvestor
49,2023,+,-,-,Reinvestor
49,2024,+,-,-,Reinvestor
50,2020,+,-,-,Reinvestor
50,2021,+,-,-,Reinvestor
50,2022,+,-,-,Reinvestor
50,2023,+,-,-,Reinvestor
50,2024,+,-,-,Reinvestor
51,2020,+,-,-,Reinvestor
51,2021,+,-,-,Reinvestor
51,2022,+,-,-,Reinvestor
51,2023,+,-,-,Reinvestor
51,2024,+,-,-,Reinvestor
52,2020,+,-,-,Reinvestor
52,2021,+,-,-,Reinvestor
52,2022,+,-,-,Reinvestor
52,2023,+,-,-,Reinvestor
52,2024,+,-,-,Reinvestor
53,2020,+,-,-,Reinvestor
53,2021,+,-,-,Reinvestor
53,2022,+,-,-,Reinvestor
53,2023,+,-,-,Reinvestor
53,2024,+,-,-,Reinvestor
54,2020,+,-,-,Reinvestor
54,2021,+,-,-,Reinvestor
54,2022,+,-,-,Reinvestor
54,2023,+,-,-,Reinvestor
54,2024,+,-,-,Reinvestor
55,2020,+,-,-,Reinvestor
55,2021,+,-,-,Reinvestor
55,2022,+,-,-,Reinvestor
55,2023,+,-,-,Reinvestor
55,2024,+,-,-,Reinvestor
56,2020,+,-,-,Reinvestor
56,2021,+,-,-,Reinvestor
56,2022,+,-,-,Reinvestor
56,2023,+,-,-,Reinvestor
56,2024,+,-,-,Reinvestor
57,2020,+,-,-,Reinvestor
57,2021,+,-,-,Reinvestor
57,2022,+,-,-,Reinvestor
57,2023,+,-,-,Reinvestor
57,2024,+,-,-,Reinvestor
58,2020,+,-,-,Reinvestor
58,2021,+,-,-,Reinvestor
58,2022,+,-,-,Reinvestor
58,2023,+,-,-,Reinvestor
58,2024,+,-,-,Reinvestor
59,2020,+,-,-,Reinvestor
59,2021,+,-,-,Reinvestor
59,2022,+,-,-,Reinvestor
59,2023,+,-,-,Reinvestor
59,2024,+,-,-,Reinvestor
60,2020,+,-,-,Reinvestor
60,2021,+,-,-,Reinvestor
60,2022,+,-,-,Reinvestor
60,2023,+,-,-,Reinvestor
60,2024,+,-,-,Reinvestor
61,2020,+,-,-,Reinvestor
61,2021,+,-,-,Reinvestor
61,2022,+,-,-,Reinvestor
61,2023,+,-,-,Reinvestor
61,2024,+,-,-,Reinvestor
62,2020,+,-,-,Reinvestor
62,2021,+,-,-,Reinvestor
62,2022,+,-,-,Reinvestor
62,2023,+,-,-,Reinvestor
62,2024,+,-,-,Reinvestor
63,2020,+,-,-,Reinvestor
63,2021,+,-,-,Reinvestor
63,2022,+,-,-,Reinvestor
63,2023,+,-,-,Reinvestor
63,2024,+,-,-,Reinvestor
64,2020,+,-,-,Reinvestor
64,2021,+,-,-,Reinvestor
64,2022,+,-,-,Reinvestor
64,2023,+,-,-,Reinvestor
64,2024,+,-,-,Reinvestor
65,2020,+,-,-,Reinvestor
65,2021,+,-,-,Reinvestor
65,2022,+,-,-,Reinvestor
65,2023,+,-,-,Reinvestor
65,2024,+,-,-,Reinvestor
66,2020,+,-,-,Reinvestor
66,2021,+,-,-,Reinvestor
66,2022,+,-,-,Reinvestor
66,2023,+,-,-,Reinvestor
66,2024,+,-,-,Reinvestor
67,2020,+,-,-,Reinvestor
67,2021,+,-,-,Reinvestor
67,2022,+,-,-,Reinvestor
67,2023,+,-,-,Reinvestor
67,2024,+,-,-,Reinvestor
68,2020,+,-,-,Reinvestor
68,2021,+,-,-,Reinvestor
68,2022,+,-,-,Reinvestor
68,2023,+,-,-,Reinvestor
