company_id,cluster_id,cluster_name,distance_from_centroid
1,1,Defensive Dividend Payers,0.6113
2,2,Value Cyclicals,0.9461
3,3,Distressed or Turnaround,0.6975
4,4,Emerging Growth,1.6716
0,0,High-Quality Compounders,2.0586
1,1,Defensive Dividend Payers,2.1712
2,2,Value Cyclicals,1.2032
3,3,Distressed or Turnaround,0.1183
4,4,Emerging Growth,2.205
0,0,High-Quality Compounders,0.8912
1,1,Defensive Dividend Payers,1.3317
2,2,Value Cyclicals,0.9359
3,3,Distressed or Turnaround,0.6382
4,4,Emerging Growth,1.7295
0,0,High-Quality Compounders,1.6277
1,1,Defensive Dividend Payers,1.3187
2,2,Value Cyclicals,1.5609
3,3,Distressed or Turnaround,0.7591
4,4,Emerging Growth,2.0026
0,0,High-Quality Compounders,1.2486
1,1,Defensive Dividend Payers,2.2194
2,2,Value Cyclicals,1.3761
3,3,Distressed or Turnaround,1.8357
4,4,Emerging Growth,1.382
0,0,High-Quality Compounders,0.9338
1,1,Defensive Dividend Payers,2.4144
2,2,Value Cyclicals,0.7093
3,3,Distressed or Turnaround,1.8747
4,4,Emerging Growth,2.1934
0,0,High-Quality Compounders,1.3574
1,1,Defensive Dividend Payers,1.3977
2,2,Value Cyclicals,0.5552
3,3,Distressed or Turnaround,2.1597
4,4,Emerging Growth,1.6518
0,0,High-Quality Compounders,1.1286
1,1,Defensive Dividend Payers,0.9428
2,2,Value Cyclicals,1.3567
3,3,Distressed or Turnaround,2.2707
4,4,Emerging Growth,1.0711
0,0,High-Quality Compounders,1.5898
1,1,Defensive Dividend Payers,1.0721
2,2,Value Cyclicals,0.5783
3,3,Distressed or Turnaround,1.3758
4,4,Emerging Growth,1.513
0,0,High-Quality Compounders,2.1368
1,1,Defensive Dividend Payers,2.4492
2,2,Value Cyclicals,0.9868
3,3,Distressed or Turnaround,0.6086
4,4,Emerging Growth,1.5476
0,0,High-Quality Compounders,0.6506
1,1,Defensive Dividend Payers,0.7842
2,2,Value Cyclicals,1.828
3,3,Distressed or Turnaround,1.9948
4,4,Emerging Growth,0.4307
0,0,High-Quality Compounders,2.1758
1,1,Defensive Dividend Payers,2.3448
2,2,Value Cyclicals,0.8263
3,3,Distressed or Turnaround,0.2474
4,4,Emerging Growth,1.1396
0,0,High-Quality Compounders,2.0056
1,1,Defensive Dividend Payers,1.8682
2,2,Value Cyclicals,1.327
3,3,Distressed or Turnaround,1.1568
4,4,Emerging Growth,2.0259
0,0,High-Quality Compounders,1.8961
1,1,Defensive Dividend Payers,1.5476
2,2,Value Cyclicals,0.9677
3,3,Distressed or Turnaround,1.8426
4,4,Emerging Growth,2.2998
0,0,High-Quality Compounders,0.8337
1,1,Defensive Dividend Payers,0.645
2,2,Value Cyclicals,1.3525
3,3,Distressed or Turnaround,0.3099
4,4,Emerging Growth,1.9203
0,0,High-Quality Compounders,1.9107
1,1,Defensive Dividend Payers,0.1263
2,2,Value Cyclicals,0.3595
3,3,Distressed or Turnaround,1.6918
4,4,Emerging Growth,1.1677
0,0,High-Quality Compounders,0.2664
1,1,Defensive Dividend Payers,2.2879
2,2,Value Cyclicals,1.4084
3,3,Distressed or Turnaround,1.8368
4,4,Emerging Growth,0.1375
0,0,High-Quality Compounders,0.5437
1,1,Defensive Dividend Payers,1.2916
2,2,Value Cyclicals,0.5224
3,3,Distressed or Turnaround,1.6024
4,4,Emerging Growth,1.0465
0,0,High-Quality Compounders,0.6058
1,1,Defensive Dividend Payers,1.4792
2,2,Value Cyclicals,1.5886
